                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.44573,                0.27329,                0.85233,                0.99683,                0.99561,                0.99435,                0.81626,                0.57175,                0.28609,                0.82107,             0.00042305,             0.00042305,             0.00042305
                     56,                0.44507,                 0.2776,                 0.8468,                0.99551,                0.99561,                0.99431,                0.82575,                0.56007,                0.28824,                0.81715,             0.00041405,             0.00041405,             0.00041405
                     57,                0.44623,                0.27341,                0.85151,                0.99469,                0.99333,                0.99342,                0.82338,                0.57206,                0.28199,                 0.8215,             0.00040505,             0.00040505,             0.00040505
                     58,                0.44966,                0.28202,                0.85264,                0.99657,                0.99529,                0.99435,                0.82667,                0.56607,                 0.2804,                 0.8199,             0.00039605,             0.00039605,             0.00039605
                     59,                0.45439,                0.27977,                0.85557,                0.99619,                0.99513,                0.99429,                0.82388,                0.57754,                0.28554,                0.82444,             0.00038705,             0.00038705,             0.00038705
                     60,                0.44691,                0.27587,                0.85506,                0.99592,                0.99561,                0.99429,                 0.8251,                0.55553,                0.28687,                0.81397,             0.00037805,             0.00037805,             0.00037805
                     61,                0.44154,                0.26946,                0.85345,                0.99722,                0.99561,                0.99442,                0.83161,                0.54011,                0.27727,                0.81083,             0.00036905,             0.00036905,             0.00036905
                     62,                 0.4418,                0.26592,                0.85003,                 0.9973,                0.99561,                0.99442,                0.82936,                0.54814,                 0.2718,                0.81427,             0.00036005,             0.00036005,             0.00036005
                     63,                0.45239,                0.27413,                0.85652,                0.99745,                0.99561,                0.99442,                0.83346,                 0.5554,                0.27753,                0.81329,             0.00035106,             0.00035106,             0.00035106
                     64,                0.43451,                0.26029,                 0.8524,                0.99747,                0.99561,                0.99445,                0.83039,                0.54402,                0.27194,                0.81106,             0.00034206,             0.00034206,             0.00034206
                     65,                0.43749,                0.26447,                0.84697,                0.99682,                0.99561,                0.99439,                0.83434,                0.55301,                0.27684,                0.81751,             0.00033306,             0.00033306,             0.00033306
                     66,                 0.4348,                0.26104,                0.84865,                0.99614,                0.99561,                0.99429,                0.82518,                0.55549,                 0.2786,                0.81311,             0.00032406,             0.00032406,             0.00032406
                     67,                0.43456,                0.26135,                0.85096,                0.99693,                0.99561,                0.99427,                0.82505,                0.54864,                 0.2699,                0.80743,             0.00031506,             0.00031506,             0.00031506
                     68,                0.43612,                0.26102,                0.85337,                0.99596,                0.99489,                0.99418,                0.83166,                 0.5535,                 0.2764,                0.81061,             0.00030606,             0.00030606,             0.00030606
                     69,                0.43463,                0.25939,                0.84983,                0.99615,                0.99561,                0.99414,                 0.8265,                0.54885,                0.27084,                0.81471,             0.00029706,             0.00029706,             0.00029706
                     70,                0.42752,                0.25675,                0.84762,                0.99651,                0.99561,                 0.9942,                0.82701,                0.55483,                 0.2757,                0.81679,             0.00028806,             0.00028806,             0.00028806
                     71,                 0.4283,                0.25936,                0.84783,                0.99697,                0.99561,                0.99424,                0.83303,                 0.5474,                 0.2685,                0.82445,             0.00027906,             0.00027906,             0.00027906
                     72,                0.41936,                0.25188,                0.84739,                0.99679,                 0.9954,                0.99437,                0.82708,                0.54839,                0.26777,                0.82342,             0.00027006,             0.00027006,             0.00027006
                     73,                0.43135,                0.25456,                0.84858,                0.99627,                0.99561,                0.99435,                0.82634,                0.55139,                0.26997,                0.82024,             0.00026106,             0.00026106,             0.00026106
                     74,                0.42124,                0.25368,                0.85384,                0.99454,                0.99425,                 0.9943,                0.83114,                0.54817,                0.26321,                0.82108,             0.00025207,             0.00025207,             0.00025207
                     75,                0.41897,                0.25629,                0.84988,                0.99431,                0.99561,                0.99442,                 0.8304,                0.54457,                0.26684,                0.82726,             0.00024307,             0.00024307,             0.00024307
                     76,                0.41602,                0.24905,                 0.8459,                0.99782,                0.99561,                0.99447,                 0.8308,                0.55318,                0.27386,                0.82974,             0.00023407,             0.00023407,             0.00023407
                     77,                0.42352,                0.24989,                0.84513,                0.99724,                 0.9952,                0.99436,                0.83149,                0.56081,                0.27778,                0.82884,             0.00022507,             0.00022507,             0.00022507
                     78,                 0.4188,                0.24792,                0.84601,                0.99496,                0.99333,                0.99351,                 0.8246,                0.56938,                0.27187,                0.82635,             0.00021607,             0.00021607,             0.00021607
                     79,                0.41069,                0.24343,                0.84288,                0.99706,                0.99561,                0.99444,                 0.8372,                0.54437,                0.25991,                0.82539,             0.00020707,             0.00020707,             0.00020707
                     80,                 0.4267,                0.24833,                0.84927,                 0.9973,                0.99561,                0.99446,                0.83436,                0.53779,                0.26044,                0.82424,             0.00019807,             0.00019807,             0.00019807
                     81,                0.41871,                0.24672,                0.84644,                0.99336,                0.99114,                0.99371,                0.83275,                0.55029,                0.26762,                0.82198,             0.00018907,             0.00018907,             0.00018907
                     82,                0.42216,                0.24853,                0.84586,                0.99487,                0.99333,                0.99364,                0.83203,                0.55375,                0.26782,                0.81557,             0.00018007,             0.00018007,             0.00018007
                     83,                0.42197,                0.24346,                0.84548,                0.99841,                0.99537,                0.99447,                 0.8383,                0.54151,                0.26118,                0.81545,             0.00017107,             0.00017107,             0.00017107
                     84,                0.41244,                0.24117,                0.84727,                0.99762,                0.99561,                0.99446,                0.82704,                0.56096,                0.26432,                 0.8183,             0.00016207,             0.00016207,             0.00016207
                     85,                0.40714,                 0.2383,                0.84876,                0.99759,                0.99561,                0.99445,                0.82591,                0.56079,                 0.2605,                0.81621,             0.00015308,             0.00015308,             0.00015308
                     86,                0.42231,                0.24769,                0.84072,                0.99797,                0.99561,                0.99439,                0.83116,                0.55428,                0.25822,                 0.8149,             0.00014408,             0.00014408,             0.00014408
                     87,                0.41377,                0.24304,                0.84357,                0.99746,                0.99561,                 0.9943,                0.83437,                0.54483,                0.25705,                0.81465,             0.00013508,             0.00013508,             0.00013508
                     88,                0.41142,                   0.24,                0.83597,                0.99479,                0.99325,                0.99272,                0.83195,                0.54758,                0.26173,                0.81436,             0.00012608,             0.00012608,             0.00012608
                     89,                0.41479,                0.24218,                0.84373,                0.99771,                0.99506,                 0.9945,                0.83419,                0.54359,                0.26604,                0.80983,             0.00011708,             0.00011708,             0.00011708
                     90,                0.40488,                 0.2331,                0.84464,                0.99572,                0.99608,                0.99449,                0.83091,                0.53974,                0.25847,                0.81242,             0.00010808,             0.00010808,             0.00010808
                     91,                0.44111,                0.23021,                0.83233,                0.99734,                0.99561,                0.99443,                0.84157,                0.52565,                 0.2517,                0.81292,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.44368,                0.23514,                0.82442,                0.99731,                0.99557,                0.99436,                0.84003,                0.53047,                0.25584,                0.81478,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.43815,                0.22879,                0.83421,                0.99699,                0.99385,                0.99435,                0.83936,                0.53338,                0.25139,                0.81377,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.43461,                0.23092,                0.82786,                0.99686,                0.99376,                0.99428,                0.83639,                0.53303,                0.25156,                 0.8133,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.43601,                0.23316,                0.82957,                0.99701,                0.99373,                0.99433,                0.84407,                0.52969,                0.24794,                0.81158,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.43299,                0.22617,                0.83068,                0.99715,                0.99377,                 0.9944,                 0.8454,                0.53056,                0.25217,                0.81143,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 0.4315,                0.22565,                0.82639,                0.99694,                0.99374,                0.99442,                0.84385,                0.53275,                0.25504,                0.81067,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.42688,                0.22295,                0.82936,                0.99694,                0.99366,                0.99443,                0.84585,                0.53148,                0.25123,                 0.8116,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.42673,                0.22491,                0.83072,                0.99697,                0.99364,                 0.9944,                0.84369,                0.52938,                0.24795,                0.81166,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.42608,                0.22175,                0.82382,                0.99703,                0.99365,                 0.9944,                0.84457,                0.52957,                0.24706,                0.81125,             1.8089e-05,             1.8089e-05,             1.8089e-05
